"date","geography","geography code","Population Density: Persons per square kilometre; measures: Value"
"2021","E00174090","E00174090",8699.7
"2021","E00174091","E00174091",5576.6
"2021","E00174103","E00174103",6744.7
"2021","E00060338","E00060338",4357.0
"2021","E00060339","E00060339",3466.8
"2021","E00060347","E00060347",5301.4
"2021","E00060349","E00060349",3300.5
"2021","E00060352","E00060352",6678.4
"2021","E00060341","E00060341",5869.1
"2021","E00060342","E00060342",8765.8
"2021","E00060343","E00060343",6865.1
"2021","E00060344","E00060344",5058.2
"2021","E00060345","E00060345",12970.3
"2021","E00060386","E00060386",2312.6
"2021","E00060387","E00060387",1124.6
"2021","E00060390","E00060390",4704.9
"2021","E00174083","E00174083",857.9
"2021","E00174084","E00174084",2030.1
"2021","E00174085","E00174085",1135.6
"2021","E00174086","E00174086",3657.1
"2021","E00174087","E00174087",1658.7
"2021","E00060381","E00060381",10379.7
"2021","E00060385","E00060385",10905.0
"2021","E00060388","E00060388",9936.7
"2021","E00060393","E00060393",10268.8
"2021","E00060395","E00060395",6918.6
"2021","E00060396","E00060396",10666.7
"2021","E00060417","E00060417",1431.4
"2021","E00060418","E00060418",937.8
"2021","E00060426","E00060426",3589.7
"2021","E00174088","E00174088",5650.5
"2021","E00174097","E00174097",4038.7
"2021","E00060534","E00060534",2735.1
"2021","E00060544","E00060544",6811.6
"2021","E00060545","E00060545",5294.1
"2021","E00060547","E00060547",8987.9
"2021","E00060548","E00060548",5560.0
"2021","E00060379","E00060379",7526.5
"2021","E00060382","E00060382",8343.2
"2021","E00060383","E00060383",6609.2
"2021","E00060384","E00060384",6736.8
"2021","E00060391","E00060391",7339.1
"2021","E00060392","E00060392",7533.6
"2021","E00060394","E00060394",12356.3
"2021","E00060397","E00060397",5820.9
"2021","E00060398","E00060398",8287.0
"2021","E00060399","E00060399",4400.8
"2021","E00060865","E00060865",19064.3
"2021","E00060866","E00060866",9650.7
"2021","E00060875","E00060875",3132.9
"2021","E00060877","E00060877",7391.3
"2021","E00174112","E00174112",4003.8
"2021","E00174119","E00174119",3708.4
"2021","E00060986","E00060986",5623.2
"2021","E00060987","E00060987",10087.7
"2021","E00060990","E00060990",8377.5
"2021","E00174110","E00174110",18235.3
"2021","E00174111","E00174111",6939.7
"2021","E00060989","E00060989",22346.9
"2021","E00060991","E00060991",21045.8
"2021","E00060992","E00060992",13333.3
"2021","E00060993","E00060993",17051.3
"2021","E00060997","E00060997",18578.0
"2021","E00060869","E00060869",2642.4
"2021","E00060871","E00060871",4931.5
"2021","E00060873","E00060873",5656.9
"2021","E00188254","E00188254",107.9
"2021","E00188282","E00188282",1773.8
"2021","E00060867","E00060867",18089.4
"2021","E00060868","E00060868",9372.5
"2021","E00060874","E00060874",431.1
"2021","E00060878","E00060878",7834.8
"2021","E00060984","E00060984",4156.0
"2021","E00188220","E00188220",9325.8
"2021","E00188234","E00188234",8511.6
"2021","E00188239","E00188239",8411.5
"2021","E00188265","E00188265",4333.3
"2021","E00060988","E00060988",17439.0
"2021","E00060995","E00060995",10878.8
"2021","E00060998","E00060998",7157.9
"2021","E00060812","E00060812",5081.2
"2021","E00060826","E00060826",15071.4
"2021","E00060828","E00060828",18882.0
"2021","E00060829","E00060829",16962.0
"2021","E00060830","E00060830",12194.1
"2021","E00060832","E00060832",10146.5
"2021","E00060810","E00060810",10568.7
"2021","E00060824","E00060824",4318.2
"2021","E00060825","E00060825",3354.4
"2021","E00060827","E00060827",3757.5
"2021","E00174106","E00174106",3231.4
"2021","E00060813","E00060813",7401.1
"2021","E00060815","E00060815",7950.5
"2021","E00060817","E00060817",5450.1
"2021","E00060820","E00060820",6111.1
"2021","E00060822","E00060822",935.5
"2021","E00060831","E00060831",7139.0
"2021","E00060811","E00060811",5000.0
"2021","E00060814","E00060814",6733.8
"2021","E00060818","E00060818",390.9
"2021","E00060819","E00060819",4029.5
"2021","E00060821","E00060821",3475.6
"2021","E00060701","E00060701",19753.1
"2021","E00060702","E00060702",20534.0
"2021","E00060709","E00060709",15441.9
"2021","E00060711","E00060711",12731.5
"2021","E00060726","E00060726",9604.0
"2021","E00060704","E00060704",7677.1
"2021","E00060705","E00060705",6095.0
"2021","E00060706","E00060706",8971.4
"2021","E00060708","E00060708",15276.1
"2021","E00060717","E00060717",9147.9
"2021","E00060699","E00060699",17258.1
"2021","E00060710","E00060710",16000.0
"2021","E00060715","E00060715",19080.5
"2021","E00060716","E00060716",17516.3
"2021","E00060720","E00060720",14780.2
"2021","E00060707","E00060707",10459.0
"2021","E00060712","E00060712",6287.2
"2021","E00060727","E00060727",15127.1
"2021","E00060728","E00060728",22432.4
"2021","E00060713","E00060713",12359.0
"2021","E00060714","E00060714",15088.8
"2021","E00060718","E00060718",16075.9
"2021","E00060719","E00060719",17409.6
"2021","E00060721","E00060721",17000.0
"2021","E00060703","E00060703",702.7
"2021","E00060722","E00060722",4454.0
"2021","E00060723","E00060723",3778.2
"2021","E00060725","E00060725",6355.1
"2021","E00174116","E00174116",3707.4
"2021","E00060896","E00060896",4581.2
"2021","E00060900","E00060900",3771.6
"2021","E00060901","E00060901",5190.8
"2021","E00060903","E00060903",6131.5
"2021","E00060914","E00060914",3857.6
"2021","E00060897","E00060897",5877.7
"2021","E00060899","E00060899",3136.7
"2021","E00060902","E00060902",1402.2
"2021","E00060904","E00060904",7370.9
"2021","E00060913","E00060913",2696.7
"2021","E00060905","E00060905",4772.0
"2021","E00060906","E00060906",4047.0
"2021","E00060909","E00060909",10066.4
"2021","E00060910","E00060910",5803.6
"2021","E00060911","E00060911",7421.7
"2021","E00060898","E00060898",3208.1
"2021","E00060907","E00060907",2059.2
"2021","E00060908","E00060908",3891.7
"2021","E00060912","E00060912",3185.0
"2021","E00060915","E00060915",5788.5
"2021","E00060976","E00060976",4777.1
"2021","E00060981","E00060981",6666.7
"2021","E00060982","E00060982",5514.3
"2021","E00188218","E00188218",6711.3
"2021","E00188221","E00188221",6013.9
"2021","E00060916","E00060916",8029.7
"2021","E00060925","E00060925",18645.2
"2021","E00060926","E00060926",16812.5
"2021","E00060927","E00060927",15750.0
"2021","E00060930","E00060930",8618.4
"2021","E00060917","E00060917",9905.1
"2021","E00060921","E00060921",7761.2
"2021","E00060922","E00060922",7599.0
"2021","E00060923","E00060923",4649.0
"2021","E00060929","E00060929",961.4
"2021","E00060931","E00060931",6630.1
"2021","E00060932","E00060932",7116.7
"2021","E00060933","E00060933",7087.2
"2021","E00060918","E00060918",10095.5
"2021","E00060919","E00060919",14583.3
"2021","E00060920","E00060920",5782.0
"2021","E00060924","E00060924",7215.2
"2021","E00060928","E00060928",4924.9
"2021","E00060659","E00060659",6763.0
"2021","E00060660","E00060660",8403.4
"2021","E00060661","E00060661",3459.6
"2021","E00060663","E00060663",9542.7
"2021","E00188237","E00188237",4336.2
"2021","E00188241","E00188241",7401.6
"2021","E00060664","E00060664",4232.5
"2021","E00060665","E00060665",7242.2
"2021","E00060666","E00060666",6358.5
"2021","E00060668","E00060668",6182.6
"2021","E00060669","E00060669",4253.7
"2021","E00060651","E00060651",9567.0
"2021","E00060652","E00060652",4684.9
"2021","E00060656","E00060656",6568.0
"2021","E00060667","E00060667",7823.0
"2021","E00174108","E00174108",4271.1
"2021","E00174109","E00174109",2064.8
"2021","E00060598","E00060598",9598.5
"2021","E00060600","E00060600",4213.1
"2021","E00060602","E00060602",9186.0
"2021","E00060610","E00060610",7943.0
"2021","E00060611","E00060611",5053.8
"2021","E00060612","E00060612",5289.6
"2021","E00060596","E00060596",1606.7
"2021","E00060601","E00060601",3815.4
"2021","E00060606","E00060606",1990.0
"2021","E00060607","E00060607",8461.5
"2021","E00060608","E00060608",7070.4
"2021","E00060609","E00060609",5752.2
"2021","E00060613","E00060613",7385.0
"2021","E00060595","E00060595",4228.3
"2021","E00060597","E00060597",5141.5
"2021","E00060599","E00060599",3951.7
"2021","E00060603","E00060603",5162.0
"2021","E00060604","E00060604",2827.8
"2021","E00060605","E00060605",5246.8
"2021","E00060970","E00060970",3027.5
"2021","E00060972","E00060972",3438.1
"2021","E00060973","E00060973",4795.0
"2021","E00060974","E00060974",6111.1
"2021","E00060975","E00060975",4756.9
"2021","E00060965","E00060965",7068.2
"2021","E00060966","E00060966",4969.2
"2021","E00060971","E00060971",4192.0
"2021","E00060977","E00060977",15064.9
"2021","E00060979","E00060979",3663.1
"2021","E00060967","E00060967",2637.1
"2021","E00060968","E00060968",3435.2
"2021","E00060969","E00060969",5528.2
"2021","E00060978","E00060978",8285.0
"2021","E00060983","E00060983",4942.5
"2021","E00060576","E00060576",6674.0
"2021","E00060579","E00060579",851.0
"2021","E00060590","E00060590",7015.4
"2021","E00060591","E00060591",6542.7
"2021","E00060592","E00060592",5761.7
"2021","E00060593","E00060593",2057.3
"2021","E00060574","E00060574",5803.9
"2021","E00060575","E00060575",1874.6
"2021","E00060577","E00060577",6529.9
"2021","E00060578","E00060578",5571.2
"2021","E00060594","E00060594",6052.6
"2021","E00060584","E00060584",3105.7
"2021","E00060586","E00060586",6368.2
"2021","E00060587","E00060587",442.0
"2021","E00060588","E00060588",5826.1
"2021","E00060589","E00060589",6631.0
"2021","E00060580","E00060580",2321.2
"2021","E00060581","E00060581",6395.8
"2021","E00060582","E00060582",8600.5
"2021","E00060583","E00060583",6131.8
"2021","E00060585","E00060585",7084.2
"2021","E00060785","E00060785",7053.2
"2021","E00060786","E00060786",6378.2
"2021","E00060793","E00060793",5962.3
"2021","E00060796","E00060796",4584.4
"2021","E00060797","E00060797",7644.2
"2021","E00060787","E00060787",8529.4
"2021","E00060790","E00060790",6408.8
"2021","E00060795","E00060795",5561.8
"2021","E00060805","E00060805",9378.5
"2021","E00060808","E00060808",8481.0
"2021","E00060788","E00060788",4768.7
"2021","E00060789","E00060789",5967.9
"2021","E00060791","E00060791",5639.9
"2021","E00060792","E00060792",4109.9
"2021","E00060794","E00060794",7303.4
"2021","E00060798","E00060798",8709.7
"2021","E00060799","E00060799",4422.8
"2021","E00060800","E00060800",14322.9
"2021","E00060802","E00060802",7572.8
"2021","E00174113","E00174113",11096.8
"2021","E00174114","E00174114",9559.5
"2021","E00174115","E00174115",10386.3
"2021","E00060803","E00060803",7475.7
"2021","E00060804","E00060804",1122.5
"2021","E00060806","E00060806",3305.9
"2021","E00060807","E00060807",7500.0
"2021","E00060809","E00060809",10978.3
"2021","E00060935","E00060935",5105.6
"2021","E00060936","E00060936",6025.6
"2021","E00060937","E00060937",8457.7
"2021","E00060945","E00060945",4871.8
"2021","E00060947","E00060947",4096.6
"2021","E00060938","E00060938",4927.5
"2021","E00060948","E00060948",7637.6
"2021","E00060950","E00060950",7036.2
"2021","E00060952","E00060952",3333.3
"2021","E00060953","E00060953",5047.0
"2021","E00060934","E00060934",4306.3
"2021","E00060939","E00060939",7218.4
"2021","E00060943","E00060943",7990.7
"2021","E00060949","E00060949",2846.9
"2021","E00060951","E00060951",6319.7
"2021","E00060954","E00060954",8638.9
"2021","E00060940","E00060940",6466.8
"2021","E00060941","E00060941",5124.0
"2021","E00060942","E00060942",5703.7
"2021","E00060944","E00060944",4317.5
"2021","E00060946","E00060946",5481.9
"2021","E00060615","E00060615",5710.4
"2021","E00060620","E00060620",655.8
"2021","E00060625","E00060625",2682.9
"2021","E00174107","E00174107",3978.2
"2021","E00174117","E00174117",8920.9
"2021","E00174118","E00174118",10626.8
"2021","E00060616","E00060616",4034.5
"2021","E00060619","E00060619",7514.3
"2021","E00060628","E00060628",6798.9
"2021","E00060629","E00060629",5474.5
"2021","E00060631","E00060631",7188.2
"2021","E00060614","E00060614",7937.2
"2021","E00060618","E00060618",4857.1
"2021","E00060622","E00060622",1706.4
"2021","E00060627","E00060627",4303.1
"2021","E00060630","E00060630",5435.7
"2021","E00060617","E00060617",2577.4
"2021","E00060621","E00060621",6884.6
"2021","E00060623","E00060623",6296.3
"2021","E00060624","E00060624",727.8
"2021","E00060558","E00060558",4956.2
"2021","E00060559","E00060559",3343.4
"2021","E00060561","E00060561",1444.4
"2021","E00060562","E00060562",605.4
"2021","E00060572","E00060572",3935.5
"2021","E00060556","E00060556",4271.1
"2021","E00060565","E00060565",3406.4
"2021","E00060567","E00060567",4942.9
"2021","E00060568","E00060568",7360.0
"2021","E00060566","E00060566",4223.2
"2021","E00060569","E00060569",6371.0
"2021","E00060570","E00060570",7847.5
"2021","E00060571","E00060571",4218.4
"2021","E00060573","E00060573",2755.3
"2021","E00060557","E00060557",7042.9
"2021","E00060560","E00060560",5222.5
"2021","E00060563","E00060563",3357.4
"2021","E00060564","E00060564",2137.9
"2021","E00060757","E00060757",3763.9
"2021","E00060758","E00060758",2579.4
"2021","E00060759","E00060759",4573.1
"2021","E00060760","E00060760",3861.4
"2021","E00060762","E00060762",6768.7
"2021","E00188211","E00188211",335.0
"2021","E00188224","E00188224",1444.7
"2021","E00060751","E00060751",6638.4
"2021","E00060763","E00060763",2752.4
"2021","E00060764","E00060764",7320.7
"2021","E00060765","E00060765",4838.7
"2021","E00060766","E00060766",4133.3
"2021","E00060750","E00060750",3773.8
"2021","E00060752","E00060752",3859.6
"2021","E00060753","E00060753",5950.6
"2021","E00060754","E00060754",5778.5
"2021","E00060755","E00060755",3818.7
"2021","E00060756","E00060756",1064.4
"2021","E00060778","E00060778",4202.9
"2021","E00060780","E00060780",5133.1
"2021","E00060781","E00060781",5045.5
"2021","E00060782","E00060782",4483.4
"2021","E00060784","E00060784",3119.2
"2021","E00060767","E00060767",9025.2
"2021","E00060768","E00060768",9356.9
"2021","E00060769","E00060769",4701.0
"2021","E00060770","E00060770",6365.9
"2021","E00060771","E00060771",9123.9
"2021","E00060772","E00060772",10473.2
"2021","E00060773","E00060773",3963.0
"2021","E00060774","E00060774",7403.3
"2021","E00060775","E00060775",8668.4
"2021","E00060776","E00060776",879.0
"2021","E00060777","E00060777",3833.1
"2021","E00060779","E00060779",3943.1
"2021","E00060783","E00060783",3156.4
"2021","E00060633","E00060633",6769.7
"2021","E00060637","E00060637",5279.9
"2021","E00060641","E00060641",6382.0
"2021","E00060646","E00060646",4620.3
"2021","E00188215","E00188215",4561.2
"2021","E00188245","E00188245",2352.1
"2021","E00188281","E00188281",7272.7
"2021","E00188293","E00188293",4564.4
"2021","E00188312","E00188312",191.5
"2021","E00060635","E00060635",4466.5
